Company,Country,Change
Carvana Co, USA,+962
Nvidia, USA,+237
Meta, USA,+145
Palantir, USA,+133
Coinbase, USA,+124
Tesla, USA,+109
Spotify, Sweden,+95
Shopify, Canada,+91
Uber, USA,+90
Palo Alto Networks, USA,+74
Salesforce, USA,+67
Adobe, USA,+66
Broadcom, USA,+65
Amazon, USA,+64
AMD, USA,+63
Alphabet, USA,+54
Booking, USA,+54
Airbnb, USA,+53
FedEx, USA,+50
Oracle, USA,+47
Netflix, USA,+47
Apple, USA,+44
Dell, USA,+39
Microsoft, USA,+36
Intel, USA,+32
Samsung, South Korea,+28
Mahindra & Mahindra, India,+27
Toyota, Japan,+26
Roblox, USA,-1
Reliance, India,-5
Pfizer, USA,-30
Etsy, USA,-38
Macyâ€™s, USA,-40
WeWork, USA,-91
